GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
webanalysis,edu.odu.cs.cs350,DocumentParser,3,0,0,0,1,0,1,0,1,0
webanalysis,edu.odu.cs.cs350,WebSite,16,50,0,0,6,15,4,6,4,6
webanalysis,edu.odu.cs.cs350,Classification,0,21,0,0,0,4,0,1,0,1
webanalysis,edu.odu.cs.cs350,Image,0,32,0,0,0,14,0,6,0,6
webanalysis,edu.odu.cs.cs350,TargetType,27,0,0,0,5,0,1,0,1,0
webanalysis,edu.odu.cs.cs350,HTMLDocument,16,45,3,1,7,15,5,6,3,6
webanalysis,edu.odu.cs.cs350,CLI,39,37,1,3,14,11,9,6,8,5
webanalysis,edu.odu.cs.cs350,WebsiteWalker,7,0,0,0,5,0,3,0,3,0
